Title,Notes,MCPFile,BL3:Mot:imageRot,Delay,MCPAcquire,Wait For,Value,Or Time,MCPAcquire
Concrete_resonance_CT,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__0__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__0__,0,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__5__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__5__,5,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__10__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__10__,10,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__15__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__15__,15,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__20__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__20__,20,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__25__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__25__,25,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__30__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__30__,30,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__35__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__35__,35,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__40__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__40__,40,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__45__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__45__,45,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__50__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__50__,50,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__55__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__55__,55,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__60__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__60__,60,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__65__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__65__,65,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__70__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__70__,70,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__75__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__75__,75,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__80__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__80__,80,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__85__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__85__,85,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__90__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__90__,90,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__95__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__95__,95,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__100__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__100__,100,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__105__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__105__,105,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__110__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__110__,110,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__115__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__115__,115,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__120__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__120__,120,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__125__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__125__,125,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__130__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__130__,130,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__135__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__135__,135,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__140__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__140__,140,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__145__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__145__,145,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__150__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__150__,150,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__155__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__155__,155,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__160__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__160__,160,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__165__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__165__,165,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__170__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__170__,170,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__175__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__175__,175,1,1,pCharge,6,,0
,10mm Pb full filter 12mm Ni aperture shutter 1e-6 750e-6 3 0.16__0__180__,C:\Oct2018\IPTS-20740\October11_2018\Concrete_resonance_CT__0__180__,180,1,1,pCharge,6,,0
